product,price
Tomatoes 🍅,2.0
Potatoes 🥔,1.0
Carrots 🥕,0.8
Cucumber 🥒,1.2
Lettuce 🥬,0.9
Apple 🍎,1.6
Strawberry 🍓,3.0
Melon 🍈,2.0
Blueberry 🫐,20.0
Banana 🍌,1.1
Orange 🍊,1.3
Grapes 🍇,2.5
Watermelon 🍉,3.5
Peach 🍑,2.2
Cherry 🍒,4.0
Pear 🍐,1.8
Pineapple 🍍,2.8
Kiwi 🥝,2.4
Mango 🥭,3.1
Raspberry,3.8
Blackberry,4.5
Avocado 🥑,2.6
Lemon 🍋,1.4
Pumpkin 🎃,1.7
Spinach,1.0
Broccoli 🥦,1.5
Onion 🧅,0.7
Garlic 🧄,0.6
Zucchini,1.4
Eggplant 🍆,1.9
Cabbage,0.9
Corn 🌽,1.3
Mushroom,1.6
Green Beans,1.4
Peas,1.2
Coconut 🥥,2.5
Grapefruit,1.9
Cranberry,3.9
Olive 🫒,2.3
Dates,3.4
nectarine,5.0
